symbol,pattern,entry_date,exit_date,pnl_pct,pnl_dollars,capital_after,shares,entry_price
CASY,Falling Wedge,2024-07-30 04:00:00+00:00,2024-08-01 04:00:00+00:00,-0.5357041969641028,-5.6980799193948215,5312.61000100147,2.796407608261099,380.3671585794296
CHRW,Falling Wedge,2024-07-30 04:00:00+00:00,2024-08-01 04:00:00+00:00,4.165675388102873,44.30869015808133,5356.918691159551,12.55285625869451,84.7346288576711
GIS,Falling Wedge,2024-07-30 04:00:00+00:00,2024-08-05 04:00:00+00:00,5.010788118098011,53.29782988052582,5410.216521040076,17.718855160249102,60.02992894091806
IFF,Falling Wedge,2024-07-30 04:00:00+00:00,2024-08-05 04:00:00+00:00,-4.187673936371637,-44.54268027213393,5365.673840767942,11.24866711621062,94.55890241887543
A,Falling Wedge,2024-07-30 04:00:00+00:00,2024-07-31 04:00:00+00:00,8.885691268266275,94.51368735317699,5460.18752812112,8.393959006203843,126.71751379748667
HCA,Inverse Head & Shoulders,2024-08-13 04:00:00+00:00,2024-08-21 04:00:00+00:00,5.988951434986147,65.40159586366889,5525.589123984789,3.106085299244445,351.58001162745336
TER,Falling Wedge,2024-08-13 04:00:00+00:00,2024-08-15 04:00:00+00:00,14.960110658331441,163.37001927186634,5688.959143256655,9.717308811427078,112.3806525876837
CNC,Channel Breakout,2024-08-13 04:00:00+00:00,2024-08-15 04:00:00+00:00,7.167838139072816,78.27548082111258,5767.234624077768,15.079712544947343,72.41766063970003
FSLR,Falling Wedge,2024-08-13 04:00:00+00:00,2024-08-14 04:00:00+00:00,9.676954997378955,105.67597797375583,5872.910602051524,5.258441522373005,207.67322427718364
RMD,Inverse Head & Shoulders,2024-08-13 04:00:00+00:00,2024-08-19 04:00:00+00:00,7.854936191940252,85.77884925883873,5958.6894513103625,5.2172758958327226,209.31181854815927
CHD,Falling Wedge,2024-08-27 04:00:00+00:00,2024-09-03 04:00:00+00:00,2.645640988104,31.529106095539262,5990.218557405902,12.305698673210586,96.84439070952364
ARES,Falling Wedge,2024-08-27 04:00:00+00:00,2024-09-04 04:00:00+00:00,-3.2093722260334157,-38.247304857187544,5951.971252548715,8.763921324583748,135.98226708392724
BBY,Falling Wedge,2024-08-27 04:00:00+00:00,2024-08-29 04:00:00+00:00,13.363727990313455,159.26061001212366,6111.231862560839,15.46664316488027,77.05213584859337
XYZ,Channel Breakout,2024-08-27 04:00:00+00:00,2024-08-29 04:00:00+00:00,7.298970459001299,86.984596558954,6198.2164591197925,19.00884724828838,62.69385379849274
AVGO,Falling Wedge,2024-08-27 04:00:00+00:00,2024-09-06 04:00:00+00:00,-3.3755213796988404,-40.22736727576817,6157.989091844024,8.288989175276459,143.7736091894854
ECHO,Falling Wedge,2024-09-10 04:00:00+00:00,2024-09-11 04:00:00+00:00,13.544881225927245,166.81846167916578,6324.80755352319,61.98968751798571,19.867785557258514
CCL,Falling Wedge,2024-09-10 04:00:00+00:00,2024-09-18 04:00:00+00:00,18.05242243540782,222.3332408772034,6547.140794400393,79.98475881322663,15.397906259175247
CHD,Ascending Triangle,2024-09-10 04:00:00+00:00,2024-09-11 04:00:00+00:00,2.972495821764889,36.60919369196025,6583.749988092353,12.304585414192571,100.09258962502172
CSGP,Falling Wedge,2024-09-10 04:00:00+00:00,2024-09-18 04:00:00+00:00,-3.4606365442080866,-42.6211241801404,6541.128863912213,15.911592867990437,77.40254722369289
D,Double Top Breakout,2024-09-10 04:00:00+00:00,2024-09-16 04:00:00+00:00,3.213055464433638,39.57192100294436,6580.700784915158,23.534897192748076,52.33070738665913
CSCO,Inverse Head & Shoulders,2024-09-24 04:00:00+00:00,2024-09-25 04:00:00+00:00,5.206356329251259,68.52294636490352,6649.223731280062,27.662757153246876,47.57805412135325
